Frabosa Sottana comune,Frabosa Sottana comune.1
,
Frabosa Sottana – VedutaIl capoluogo,Frabosa Sottana – VedutaIl capoluogo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Adriano Bertolino (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°18′N 7°48′E
Altitudine,641 m s.l.m.
Superficie,"37,64 km²"
Abitanti,1 641[1] (30-11-2025)
Densità,"43,6 ab./km²"
Frazioni,"Alma, Artesina, Gosi, Pianvignale, Prato Nevoso, Miroglio, Riosecco"
Comuni confinanti,"Frabosa Soprana, Magliano Alpi, Monastero di Vasco, Roccaforte Mondovì, Villanova Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12083
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004091
Cod. catastale,D752
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 110 GG[3]"
Nome abitanti,frabosani
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Frabosa Sottana,Frabosa Sottana
Frabosa Sottana – MappaPosizione di Frabosa Sottana nella provincia di Cuneo,Frabosa Sottana – MappaPosizione di Frabosa Sottana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
