Revello comune,Revello comune.1
,
Revello – VedutaIl paese visto dal Monte Bracco,Revello – VedutaIl paese visto dal Monte Bracco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Daniele Mattio (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°39′N 7°23′E
Altitudine,351 m s.l.m.
Superficie,"52,47 km²"
Abitanti,4 179[1] (30-11-2025)
Densità,"79,65 ab./km²"
Frazioni,"San Firmino, Staffarda, Campagnole, Morra S.Martino, Madonna Delle Grazie, Tetti Pertusio, Dietro Castello, S.Pietro"
Comuni confinanti,"Barge, Brondello, Cardè, Envie, Gambasca, Martiniana Po, Pagno, Rifreddo, Saluzzo"
Altre informazioni,Altre informazioni
Cod. postale,12036
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004180
Cod. catastale,H247
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 748 GG[3]"
Nome abitanti,revellesi
Patrono,"san Rocco, san Biagio"
Giorno festivo,"20 agosto, 5 febbraio"
Cartografia,Cartografia
Revello,Revello
Revello – MappaPosizione di Revello nella provincia di Cuneo,Revello – MappaPosizione di Revello nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
