Rifreddo comune,Rifreddo comune.1
,
Rifreddo – VedutaIl municipio risalente al XV secolo,Rifreddo – VedutaIl municipio risalente al XV secolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Elia Giordanino (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°39′N 7°21′E
Altitudine,"433 (min 413 - max 1,209) m s.l.m."
Superficie,"6,84 km²"
Abitanti,1 014[1] (30-11-2025)
Densità,"148,25 ab./km²"
Comuni confinanti,"Envie, Gambasca, Revello, Sanfront"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004181
Cod. catastale,H285
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 852 GG[3]"
Nome abitanti,rifreddesi
Patrono,san Luigi Gonzaga
Giorno festivo,21 luglio
Cartografia,Cartografia
Rifreddo,Rifreddo
Rifreddo – MappaPosizione di Rifreddo nella provincia di Cuneo,Rifreddo – MappaPosizione di Rifreddo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
