Castellinaldo d'Alba comune,Castellinaldo d'Alba comune.1
,
Castellinaldo d'Alba – VedutaPanorama,Castellinaldo d'Alba – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Enrico Marsaglia (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°47′N 8°02′E
Altitudine,285 m s.l.m.
Superficie,"7,8 km²"
Abitanti,906[1] (30-11-2025)
Densità,"116,15 ab./km²"
Frazioni,"Gatti, Boarini, San Pietro, Madonna dei Cavalli."
Comuni confinanti,"Canale, Castagnito, Magliano Alfieri, Priocca, Vezza d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004051
Cod. catastale,C173
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 522 GG[3]"
Nome abitanti,castellinaldesi
Patrono,san Dalmazzo
Cartografia,Cartografia
Castellinaldo d'Alba,Castellinaldo d'Alba
Castellinaldo d'Alba – MappaPosizione di Castellinaldo d'Alba nella provincia di Cuneo,Castellinaldo d'Alba – MappaPosizione di Castellinaldo d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
