Niella Tanaro comune,Niella Tanaro comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mina Gian Mario (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°25′N 7°55′E
Altitudine,371 m s.l.m.
Superficie,"15,71 km²"
Abitanti,936[1] (30-11-2025)
Densità,"59,58 ab./km²"
Comuni confinanti,"Briaglia, Castellino Tanaro, Cigliè, Lesegno, Mondovì, Rocca Cigliè, San Michele Mondovì, Vicoforte"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004151
Cod. catastale,F895
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 775 GG[3]"
Nome abitanti,niellesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Motto,Inter Segetes Nigella
Cartografia,Cartografia
Niella Tanaro,Niella Tanaro
Niella Tanaro – MappaPosizione di Niella Tanaro nella provincia di Cuneo,Niella Tanaro – MappaPosizione di Niella Tanaro nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
