Isasca comune,Isasca comune.1
,
Isasca – Veduta,Isasca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Guido Foglio (lista civica Uniti per Isasca) dal 27-5-2019
Territorio,Territorio
Coordinate,44°35′N 7°23′E
Altitudine,660 m s.l.m.
Superficie,"5,08 km²"
Abitanti,64[1] (30-11-2025)
Densità,"12,6 ab./km²"
Comuni confinanti,"Brondello, Brossasco, Martiniana Po, Venasca"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004103
Cod. catastale,E327
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 133 GG[3]"
Nome abitanti,isaschesi
Patrono,san Chiaffredo
Cartografia,Cartografia
Isasca,Isasca
Isasca – MappaTerritorio comunale di Isasca nella provincia di Cuneo,Isasca – MappaTerritorio comunale di Isasca nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
