Chiusa di Pesio comune,Chiusa di Pesio comune.1
,
Chiusa di Pesio – VedutaLa chiesa parrocchiale di Sant'Antonino,Chiusa di Pesio – VedutaLa chiesa parrocchiale di Sant'Antonino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Claudio Baudino (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°19′N 7°41′E
Altitudine,575 (min 485 - max 2 651) m s.l.m.
Superficie,"95,02 km²"
Abitanti,3 707[1] (30-11-2025)
Densità,"39,01 ab./km²"
Frazioni,"Abrau, Combe, San Bartolomeo, Santa Maria Rocca, Vigna"
Comuni confinanti,"Beinette, Briga Alta, Briga (La Brigue) (FR-06), Limone Piemonte, Margarita, Peveragno, Pianfei, Villanova Mondovì, Roccaforte Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12013
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004068
Cod. catastale,C653
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 028 GG[3]"
Nome abitanti,chiusani
Patrono,sant'Antonino
Cartografia,Cartografia
Chiusa di Pesio,Chiusa di Pesio
Chiusa di Pesio – MappaPosizione del comune di Chiusa di Pesio nella provincia di Cuneo,Chiusa di Pesio – MappaPosizione del comune di Chiusa di Pesio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
