Montaldo di Mondovì comune,Montaldo di Mondovì comune.1
,
Montaldo di Mondovì – Veduta,Montaldo di Mondovì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Balbo (lista civica) dal 2019
Territorio,Territorio
Coordinate,44°19′N 7°52′E
Altitudine,"796 (min 470 - max 1,513) m s.l.m."
Superficie,"23,58 km²"
Abitanti,552[1] (30-11-2025)
Densità,"23,41 ab./km²"
Frazioni,"Frazioni principali: Capoluogo, S. Anna Collarea, Corsaglia, Pra di Montaldo, Corsagliola/ Deviglia e Villero, Oberti Borgate: Camerano, Ponte dell'Asino, Vissi, Roà Marenca, Piano, Scarrone, Canavere, Roà Piana, Uvaglio, Borio, Calupo Soprano, Calupo Sottano, Quartiere, Truc, Piazza, Cantone, Roà de Volpi, San Bernardo, Bala, Carlinet, Garie', San Salvatore, Giacolotti, Vernagli, Robresti, Bassi, Loatta, Giacobba, Frabusè"
Comuni confinanti,"Frabosa Soprana, Monastero di Vasco, Roburent, Torre Mondovì, Vicoforte"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004134
Cod. catastale,F405
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 307 GG[3]"
Nome abitanti,montaldesi
Patrono,Maria Vergine Assunta
Giorno festivo,15 agosto
Motto,Debellare Superbos
Cartografia,Cartografia
Montaldo di Mondovì,Montaldo di Mondovì
Montaldo di Mondovì – MappaPosizione di Montaldo di Mondovì nella provincia di Cuneo,Montaldo di Mondovì – MappaPosizione di Montaldo di Mondovì nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
