Baldissero d'Alba comune,Baldissero d'Alba comune.1
,
Baldissero d'Alba – Veduta,Baldissero d'Alba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Michele Lusso (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°45′31.5″N 7°54′53.64″E
Altitudine,380 m s.l.m.
Superficie,"15,33 km²"
Abitanti,1 046[1] (30-11-2025)
Densità,"68,23 ab./km²"
Comuni confinanti,"Ceresole d'Alba, Corneliano d'Alba, Montaldo Roero, Sommariva del Bosco, Sommariva Perno"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004010
Cod. catastale,A589
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 786 GG[3]"
Nome abitanti,baldisseresi
Patrono,santa Caterina
Cartografia,Cartografia
Baldissero d'Alba,Baldissero d'Alba
Baldissero d'Alba – MappaPosizione di Baldissero d'Alba nella provincia di Cuneo,Baldissero d'Alba – MappaPosizione di Baldissero d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
