Margarita comune,Margarita comune.1
,
Margarita – Veduta,Margarita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Michele Alberti (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°24′N 7°41′E
Altitudine,448 m s.l.m.
Superficie,"11,38 km²"
Abitanti,1 418[1] (30-11-2025)
Densità,"124,6 ab./km²"
Comuni confinanti,"Beinette, Chiusa di Pesio, Mondovì, Morozzo, Pianfei"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004118
Cod. catastale,E945
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 871 GG[3]"
Nome abitanti,margaritesi
Patrono,san Leone Magno
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Margarita,Margarita
Margarita – MappaPosizione del comune di Margarita nella provincia di Cuneo,Margarita – MappaPosizione del comune di Margarita nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
