Roccaforte Mondovì comune,Roccaforte Mondovì comune.1
,
Roccaforte Mondovì – VedutaVista di Roccaforte dal castello,Roccaforte Mondovì – VedutaVista di Roccaforte dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Paolo Bongiovanni (lista civica Insieme si può) dal 6-6-2016
Territorio,Territorio
Coordinate,44°19′N 7°45′E
Altitudine,"574 (min 540 - max 2,630) m s.l.m."
Superficie,"84,61 km²"
Abitanti,2 139[1] (30-11-2025)
Densità,"25,28 ab./km²"
Frazioni,"Annunziata, Baracco, Bertini, Dho, Lurisia, Norea, Prea, Rastello"
Comuni confinanti,"Briga Alta, Chiusa di Pesio, Frabosa Sottana, Magliano Alpi, Ormea, Pianfei, Villanova Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12088
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004190
Cod. catastale,H407
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 862 GG[3]"
Nome abitanti,roccafortesi
Patrono,san Maurizio e san Pio V
Giorno festivo,22 settembre
Cartografia,Cartografia
Roccaforte Mondovì,Roccaforte Mondovì
Roccaforte Mondovì – MappaPosizione di Roccaforte Mondovì in provincia di Cuneo,Roccaforte Mondovì – MappaPosizione di Roccaforte Mondovì in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
