Perletto comune,Perletto comune.1
,
"Perletto – VedutaTorre che sorge nell'abitato di Perletto, resto di un antico castello.","Perletto – VedutaTorre che sorge nell'abitato di Perletto, resto di un antico castello."
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Valter Truffa (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°36′N 8°13′E
Altitudine,446 m s.l.m.
Superficie,"9,89 km²"
Abitanti,255[1] (30-11-2025)
Densità,"25,78 ab./km²"
Comuni confinanti,"Castino, Cortemilia, Olmo Gentile (AT), San Giorgio Scarampi (AT), Serole (AT), Vesime (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004161
Cod. catastale,G457
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 868 GG[3]"
Nome abitanti,perlettesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Perletto,Perletto
Perletto – MappaPosizione del comune di Perletto nella provincia di Cuneo,Perletto – MappaPosizione del comune di Perletto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
