Trezzo Tinella comune,Trezzo Tinella comune.1
,
Trezzo Tinella – Veduta,Trezzo Tinella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Alberto Cerrino (lista civica Insieme per Trezzo Tinella) dal 27-5-2019
Territorio,Territorio
Coordinate,44°41′N 8°06′E
Altitudine,341 m s.l.m.
Superficie,"10,53 km²"
Abitanti,289[1] (30-11-2025)
Densità,"27,45 ab./km²"
Frazioni,"Cappelletto, Mompiano"
Comuni confinanti,"Alba, Borgomale, Castino, Mango, Neviglie, Treiso"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004231
Cod. catastale,L410
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 738 GG[3]"
Nome abitanti,trezzesi
Cartografia,Cartografia
Trezzo Tinella,Trezzo Tinella
Trezzo Tinella – MappaPosizione di Trezzo Tinella nella provincia di Cuneo,Trezzo Tinella – MappaPosizione di Trezzo Tinella nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
