Brondello comune,Brondello comune.1
,
Brondello – VedutaL'antico ponte sul Bronda,Brondello – VedutaL'antico ponte sul Bronda
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Paolo Radosta (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°35′52.08″N 7°24′15.48″E
Altitudine,467 m s.l.m.
Superficie,"10,12 km²"
Abitanti,264[1] (30-11-2025)
Densità,"26,09 ab./km²"
Comuni confinanti,"Isasca, Martiniana Po, Pagno, Revello, Venasca"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004032
Cod. catastale,B200
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 894 GG[3]"
Nome abitanti,brondellesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Brondello,Brondello
Brondello – MappaPosizione di Brondello in provincia di Cuneo,Brondello – MappaPosizione di Brondello in provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
