Fossano comune,Fossano comune.1
,
Fossano – VedutaVeduta del Castello dei principi d'Acaja,Fossano – VedutaVeduta del Castello dei principi d'Acaja
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Dario Tallone (LSP) dal 10-6-2019
Territorio,Territorio
Coordinate,44°33′N 7°44′E
Altitudine,375 m s.l.m.
Superficie,"130,15 km²"
Abitanti,24 166[1] (30-11-2025)
Densità,"185,68 ab./km²"
Frazioni,"Boschetti, Cussanio, Gerbo, Loreto, Maddalene, Mellea, Murazzo, Piovani, San Lorenzo, San Sebastiano, Sant'Antonio Baligio, San Vittore, Tagliata, Santa Lucia, San Martino[2]"
Comuni confinanti,"Bene Vagienna, Centallo, Cervere, Genola, Montanera, Salmour, Sant'Albano Stura, Savigliano, Trinità, Villafalletto"
Altre informazioni,Altre informazioni
Cod. postale,12045
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004089
Cod. catastale,D742
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 637 GG[4]"
Nome abitanti,fossanesi
Patrono,san Giovenale
Giorno festivo,prima domenica di maggio
Motto,Fidelitatis Insignia
Cartografia,Cartografia
Fossano,Fossano
Fossano – MappaPosizione del comune di Fossano nella provincia di Cuneo,Fossano – MappaPosizione del comune di Fossano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
