Roccasparvera comune,Roccasparvera comune.1
,
Roccasparvera – Veduta,Roccasparvera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Manuel Guerra (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°20′N 7°27′E
Altitudine,674 m s.l.m.
Superficie,"11,24 km²"
Abitanti,738[1] (30-11-2025)
Densità,"65,66 ab./km²"
Frazioni,"Castelletto, Piano Quinto, Tetti Beraudi, Tetto Colombero"
Comuni confinanti,"Bernezzo, Borgo San Dalmazzo, Cervasca, Gaiola, Rittana, Vignolo"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004191
Cod. catastale,H447
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 151 GG[3]"
Nome abitanti,roccasparveresi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Roccasparvera,Roccasparvera
Roccasparvera – MappaPosizione di Roccasparvera nella provincia di Cuneo,Roccasparvera – MappaPosizione di Roccasparvera nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
