Monasterolo di Savigliano comune,Monasterolo di Savigliano comune.1
,
Monasterolo di Savigliano – Veduta,Monasterolo di Savigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giorgio Alberione (lista civica Noi per Monasterolo) dal 27-5-2019
Territorio,Territorio
Coordinate,44°41′N 7°37′E
Altitudine,024&lingua=ita Dato Istat - Popolazione residente al 31 maggio 2 024 (dato provvisorio). m s.l.m.
Superficie,"14,91 km²"
Abitanti,1 309[1] (30-11-2025)
Densità,"87,79 ab./km²"
Comuni confinanti,"Cavallermaggiore, Ruffia, Savigliano, Scarnafigi"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004128
Cod. catastale,F330
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 615 GG[3]"
Nome abitanti,monasterolesi
Patrono,santi Probo e Celestina
Giorno festivo,seconda domenica di ottobre
Cartografia,Cartografia
Monasterolo di Savigliano,Monasterolo di Savigliano
Monasterolo di Savigliano – MappaTerritorio comunale di Monasterolo di Savigliano nella provincia di Cuneo,Monasterolo di Savigliano – MappaTerritorio comunale di Monasterolo di Savigliano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
