Castellino Tanaro comune,Castellino Tanaro comune.1
,
Castellino Tanaro – Veduta,Castellino Tanaro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Andrea Canavese (lista civica) dal 09-06-2024
Data di istituzione,Dato Istat - Popolazione residente al 29 febbraio 2024 (dato provvisorio).
Territorio,Territorio
Coordinate,44°26′N 7°59′E
Altitudine,613 m s.l.m.
Superficie,"11,52 km²"
Abitanti,274[1] (30-11-2025)
Densità,"23,78 ab./km²"
Frazioni,"Alborgno, Argiolo, Bassi, Beguda, Besosto, Bonini, California, Cappe, Chiecchi, Codovilla, Confort, Coste, Cristina, Fenogli, Francolini, Galli, Gaviorna, Ghinghetta, Ghislera, Ginestre, Grandis, Langhetta, Maccaferro, Madonna Della Neve, Monaca, Montà, Monte, Montairone, Occhetti, Pezzole, Pianfino, Piani, Piantorre, Santa Lucia, Serra, Stralla, Valle, Valsorda, Viorno"
Comuni confinanti,"Ceva, Igliano, Lesegno, Marsaglia, Niella Tanaro, Roascio, Rocca Cigliè"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004052
Cod. catastale,C176
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 075 GG[3]"
Nome abitanti,castellinesi
Patrono,Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Castellino Tanaro,Castellino Tanaro
Castellino Tanaro – MappaPosizione di Castellino Tanaro nella provincia di Cuneo,Castellino Tanaro – MappaPosizione di Castellino Tanaro nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
