Cavallermaggiore comune,Cavallermaggiore comune.1
,
Cavallermaggiore – VedutaFacciata della chiesa dei Santi Michele e Pietro,Cavallermaggiore – VedutaFacciata della chiesa dei Santi Michele e Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Davide Sannazzaro (Cavallermaggiore viva) dal 6-6-2016
Territorio,Territorio
Coordinate,44°43′N 7°41′E
Altitudine,285 m s.l.m.
Superficie,"51,6 km²"
Abitanti,5 322[1] (30-11-2025)
Densità,"103,14 ab./km²"
Frazioni,"Foresto, Madonna del Pilone, Motta Gastaldi, Trebbie"
Comuni confinanti,"Bra, Cavallerleone, Cherasco, Marene, Monasterolo di Savigliano, Racconigi, Ruffia, Sanfrè, Savigliano, Sommariva del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004059
Cod. catastale,C376
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,cavallermaggioresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Cavallermaggiore,Cavallermaggiore
Cavallermaggiore – MappaPosizione di Cavallermaggiore nella provincia di Cuneo,Cavallermaggiore – MappaPosizione di Cavallermaggiore nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
