Peveragno comune,Peveragno comune.1
,
Peveragno – VedutaRicetto di Peveragno,Peveragno – VedutaRicetto di Peveragno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Paolo Renaudi (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,44°20′N 7°37′E
Altitudine,570 m s.l.m.
Superficie,"67,92 km²"
Abitanti,5 494[1] (30-11-2025)
Densità,"80,89 ab./km²"
Frazioni,"Borello, Madonna dei Boschi, Montefallonio, Pradeboni, San Giovenale, San Lorenzo, Santa Margherita"
Comuni confinanti,"Beinette, Boves, Chiusa di Pesio, Cuneo, Limone Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,12016
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004163
Cod. catastale,G526
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 022 GG[3]"
Nome abitanti,peveragnesi
Patrono,Santo Nome di Maria
Giorno festivo,12 settembre
Cartografia,Cartografia
Peveragno,Peveragno
Peveragno – MappaPosizione del comune di Peveragno nella provincia di Cuneo,Peveragno – MappaPosizione del comune di Peveragno nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
