Villanova Mondovì comune,Villanova Mondovì comune.1
,
Villanova Mondovì – VedutaVeduta,Villanova Mondovì – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Murizasco (lista civica Villanuova) dal 15-5-2023
Territorio,Territorio
Coordinate,44°21′N 7°46′E
Altitudine,526 m s.l.m.
Superficie,"28,29 km²"
Abitanti,6 043[1] (30-11-2025)
Densità,"213,61 ab./km²"
Frazioni,"Bongiovanni, Eula, Madonna del Pasco, San Grato dei Garelli, Garavagna, Branzola, Roracco. Borgate principali: Villavecchia, Paganotti, Dossi"
Comuni confinanti,"Chiusa di Pesio, Frabosa Sottana, Monastero di Vasco, Mondovì, Pianfei, Roccaforte Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12089
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004245
Cod. catastale,L974
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 802 GG[3]"
Nome abitanti,villanovesi[4]
Patrono,Beata Vergine Addolorata
Giorno festivo,15 settembre
Motto,Armis et Studio
Cartografia,Cartografia
Villanova Mondovì,Villanova Mondovì
Villanova Mondovì – MappaPosizione di Villanova Mondovì nella provincia di Cuneo,Villanova Mondovì – MappaPosizione di Villanova Mondovì nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
