Montaldo Roero comune,Montaldo Roero comune.1
,
Montaldo Roero – VedutaTorre di Montaldo Roero,Montaldo Roero – VedutaTorre di Montaldo Roero
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Claudia Rosso (Lista civica)
Territorio,Territorio
Coordinate,44°46′N 7°55′E
Altitudine,378 m s.l.m.
Superficie,"11,84 km²"
Abitanti,891[1] (30-11-2025)
Densità,"75,25 ab./km²"
Comuni confinanti,"Baldissero d'Alba, Ceresole d'Alba, Corneliano d'Alba, Monteu Roero, Vezza d'Alba"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004135
Cod. catastale,F408
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 723 GG[3]"
Nome abitanti,montaldesi
Giorno festivo,25 marzo
Cartografia,Cartografia
Montaldo Roero,Montaldo Roero
Montaldo Roero – MappaTerritorio comunale di Montaldo Roero nella provincia di Cuneo,Montaldo Roero – MappaTerritorio comunale di Montaldo Roero nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
