Barbaresco comune,Barbaresco comune.1
,
Barbaresco – Veduta,Barbaresco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mario Zoppi (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°43′N 8°05′E
Altitudine,274 m s.l.m.
Superficie,"7,76 km²"
Abitanti,593[1] (30-11-2025)
Densità,"76,42 ab./km²"
Frazioni,"Pertinace, Tre Stelle"
Comuni confinanti,"Alba, Castagnito, Guarene, Neive, Treiso"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004011
Cod. catastale,A629
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 508 GG[3]"
Nome abitanti,barbareschesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Motto,De Barbarisco turris et arx
Cartografia,Cartografia
Barbaresco,Barbaresco
Barbaresco – MappaPosizione di Barbaresco nella provincia di Cuneo,Barbaresco – MappaPosizione di Barbaresco nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
