Ceresole d'Alba comune,Ceresole d'Alba comune.1
,
Ceresole d'Alba – VedutaIl centro storico in una foto d'epoca.,Ceresole d'Alba – VedutaIl centro storico in una foto d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Chiara Masia (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°48′00″N 7°49′06″E
Altitudine,301 m s.l.m.
Superficie,"37,05 km²"
Abitanti,1 979[1] (30-11-2025)
Densità,"53,41 ab./km²"
Frazioni,"Borretti, Cappelli, Cabasse, Cascina Palermo"
Comuni confinanti,"Baldissero d'Alba, Carmagnola (TO), Montaldo Roero, Monteu Roero, Poirino (TO), Pralormo (TO), Sommariva del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004062
Cod. catastale,C504
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,ceresolesi
Patrono,san Giovanni Battista
Giorno festivo,lunedì successivo alla prima domenica del mese di settembre
Cartografia,Cartografia
Ceresole d'Alba,Ceresole d'Alba
Ceresole d'Alba – MappaPosizione del comune di Ceresole d'Alba nella provincia di Cuneo,Ceresole d'Alba – MappaPosizione del comune di Ceresole d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
