Villar San Costanzo comune,Villar San Costanzo comune.1
,
Villar San Costanzo – VedutaVeduta,Villar San Costanzo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gianfranco Ellena (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°29′N 7°23′E
Altitudine,609 m s.l.m.
Superficie,"19,5 km²"
Abitanti,1 549[1] (30-11-2025)
Densità,"79,44 ab./km²"
Frazioni,"Artesio, Morra, Rivoira"
Comuni confinanti,"Busca, Dronero, Roccabruna"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004247
Cod. catastale,M015
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 070 GG[3]"
Nome abitanti,Villaresi
Patrono,San Costanzo
Giorno festivo,12 settembre
Cartografia,Cartografia
Villar San Costanzo,Villar San Costanzo
Villar San Costanzo – MappaPosizione del comune di Villar San Costanzo nella provincia di Cuneo,Villar San Costanzo – MappaPosizione del comune di Villar San Costanzo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
