Piobesi d'Alba comune,Piobesi d'Alba comune.1
,
Piobesi d'Alba – VedutaPiobesi d'Alba in una cartolina d'epoca.,Piobesi d'Alba – VedutaPiobesi d'Alba in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mauro Prino (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°44′N 7°59′E
Altitudine,194 m s.l.m.
Superficie,"4,03 km²"
Abitanti,1 473[1] (30-11-2025)
Densità,"365,51 ab./km²"
Frazioni,Bricco
Comuni confinanti,"Alba, Corneliano d'Alba, Guarene"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004168
Cod. catastale,G683
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 556 GG[3]"
Nome abitanti,piobesini
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Piobesi d'Alba,Piobesi d'Alba
Piobesi d'Alba – MappaPosizione di Piobesi d'Alba nella provincia di Cuneo,Piobesi d'Alba – MappaPosizione di Piobesi d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
