Vernante comune,Vernante comune.1
,
Vernante – VedutaIl paese visto dalla Tourousela,Vernante – VedutaIl paese visto dalla Tourousela
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gian Piero Dalmasso (lista civica Vernante vivo) dal 10-6-2018
Territorio,Territorio
Coordinate,44°15′N 7°32′E
Altitudine,785 m s.l.m.
Superficie,"62,06 km²"
Abitanti,1 082[1] (30-11-2025)
Densità,"17,43 ab./km²"
Frazioni,"Ciastellar, Folchi, Palanfré, Renetta"
Comuni confinanti,"Boves, Entracque, Limone Piemonte, Roaschia, Robilante"
Altre informazioni,Altre informazioni
Cod. postale,12019
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004239
Cod. catastale,L771
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 306 GG[3]"
Nome abitanti,"vernantini, vernantesi"
Patrono,san Nicolao
Giorno festivo,seconda domenica dopo Pasqua
Cartografia,Cartografia
Vernante,Vernante
Vernante – MappaPosizione del comune di Vernante nella provincia di Cuneo,Vernante – MappaPosizione del comune di Vernante nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
