Vezza d'Alba comune,Vezza d'Alba comune.1
,
Vezza d'Alba – Veduta,Vezza d'Alba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Grasso Enrico (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,44°46′N 8°00′E
Altitudine,353 m s.l.m.
Superficie,"14,07 km²"
Abitanti,2 379[1] (30-11-2025)
Densità,"169,08 ab./km²"
Frazioni,"Borbore, Borgonuovo, Cascinotto, Cerrati, Madernassa, Riassolo, Sanche, Socco, Valmaggiore"
Comuni confinanti,"Canale, Castagnito, Castellinaldo d'Alba, Corneliano d'Alba, Guarene, Montaldo Roero, Monteu Roero"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004241
Cod. catastale,L817
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 753 GG[3]"
Nome abitanti,vezzesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Vezza d'Alba,Vezza d'Alba
Vezza d'Alba – MappaPosizione di Vezza d'Alba nella provincia di Cuneo,Vezza d'Alba – MappaPosizione di Vezza d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
