Levice comune,Levice comune.1
,
Levice – Veduta,Levice – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Francesca Rovello (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°32′N 8°09′E
Altitudine,547 m s.l.m.
Superficie,"15,74 km²"
Abitanti,175[1] (30-11-2025)
Densità,"11,12 ab./km²"
Frazioni,"Ponte Levice, Viazzi"
Comuni confinanti,"Bergolo, Castelletto Uzzone, Feisoglio, Gorzegno, Pezzolo Valle Uzzone, Prunetto, Torre Bormida"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004109
Cod. catastale,E564
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 993 GG[3]"
Nome abitanti,levicesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Levice,Levice
Levice – MappaPosizione del comune di Levice nella provincia di Cuneo,Levice – MappaPosizione del comune di Levice nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
