Boves comune,Boves comune.1
,
Boves – VedutaEpigrafe eccidio nazifascista del '43 a Boves,Boves – VedutaEpigrafe eccidio nazifascista del '43 a Boves
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Matteo Sebastiano Ravera (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°20′N 7°33′E
Altitudine,590 m s.l.m.
Superficie,"50,95 km²"
Abitanti,9 611[1] (30-11-2025)
Densità,"188,64 ab./km²"
Frazioni,"Castellar, Cerati, Fontanelle, Madonna dei Boschi, Mellana, Rivoira, Rosbella, San Giacomo, San Mauro, Sant'Anna"
Comuni confinanti,"Borgo San Dalmazzo, Cuneo, Limone Piemonte, Peveragno, Robilante, Roccavione, Vernante"
Altre informazioni,Altre informazioni
Cod. postale,12012
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004028
Cod. catastale,B101
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 047 GG[3]"
Nome abitanti,bovesani
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Motto,Ex Labore Quies
Cartografia,Cartografia
Boves,Boves
Boves – MappaPosizione di Boves nella provincia di Cuneo,Boves – MappaPosizione di Boves nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
