Bonvicino comune,Bonvicino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giuseppe Mondone (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°30′N 8°01′E
Altitudine,502 m s.l.m.
Superficie,"7,24 km²"
Abitanti,101[1] (30-11-2025)
Densità,"13,95 ab./km²"
Frazioni,Lovera
Comuni confinanti,"Belvedere Langhe, Bossolasco, Dogliani, Murazzano, Somano"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004023
Cod. catastale,A979
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 938 GG[3]"
Nome abitanti,bonvicinesi
Patrono,san Giacomo e san Cristoforo
Giorno festivo,25 luglio
Cartografia,Cartografia
Bonvicino,Bonvicino
Bonvicino – MappaPosizione di Bonvicino nella provincia di Cuneo,Bonvicino – MappaPosizione di Bonvicino nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
