Villanova Solaro comune,Villanova Solaro comune.1
,
Villanova Solaro – VedutaLa Chiesa parrocchiale di San Martino,Villanova Solaro – VedutaLa Chiesa parrocchiale di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gabriele Giletta (Insieme per Villanova) dal 10-6-2024
Data di istituzione,1423[1] (separazione dal comune di Moretta)
Territorio,Territorio
Coordinate,44°43′51″N 7°34′31″E
Altitudine,268 m s.l.m.
Superficie,"14,79 km²"
Abitanti,727[2] (30-11-2025)
Densità,"49,15 ab./km²"
Frazioni,"Vernetto (Vernà), Airali (Airaj)"
Comuni confinanti,"Moretta, Murello, Ruffia, Scarnafigi, Torre San Giorgio"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004246
Cod. catastale,L990
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 647 GG[4]"
Nome abitanti,villanovesi
Patrono,Madonna della Noce e San Giovanni Battista (Vernetto)
Giorno festivo,15 settembre
Cartografia,Cartografia
Villanova Solaro,Villanova Solaro
Villanova Solaro – MappaPosizione di Villanova Solaro nella provincia di Cuneo,Villanova Solaro – MappaPosizione di Villanova Solaro nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
