Caprauna comune,Caprauna comune.1
,
Caprauna – VedutaPanorama dal monte Dubasso,Caprauna – VedutaPanorama dal monte Dubasso
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giuseppe “Beppe” Ruaro dal 2020
Territorio,Territorio
Coordinate,44°07′N 7°57′E
Altitudine,959 m s.l.m.
Superficie,"11,5 km²"
Abitanti,79[1] (30-11-2025)
Densità,"6,87 ab./km²"
Frazioni,"Case Sottane, Chiazzuola, Poggio(sede comunale), Ruora"
Comuni confinanti,"Alto, Aquila d'Arroscia (IM), Armo (IM), Borghetto d'Arroscia (IM), Ormea, Pieve di Teco (IM)"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004039
Cod. catastale,B692
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 498 GG[3]"
Nome abitanti,capraunesi
Patrono,sant'Antonino
Giorno festivo,2 settembre
Cartografia,Cartografia
Caprauna,Caprauna
Caprauna – MappaPosizione del comune di Caprauna nella provincia di Cuneo,Caprauna – MappaPosizione del comune di Caprauna nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
