San Michele Mondovì comune,San Michele Mondovì comune.1
,
San Michele Mondovì – Vedutavista di San Michele dalla frazione San Paolo,San Michele Mondovì – Vedutavista di San Michele dalla frazione San Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Daniele Aimone (lista civica Rinascita Sanmichelese) dal 15-05-2023
Territorio,Territorio
Coordinate,44°23′N 7°54′E
Altitudine,444 m s.l.m.
Superficie,"18,11 km²"
Abitanti,1 898[1] (30-11-2025)
Densità,"104,8 ab./km²"
Frazioni,"San Paolo, Tetti Casotto, Piana Gatta, Piagge, San Cristoforo"
Comuni confinanti,"Lesegno, Mombasiglio, Monasterolo Casotto, Niella Tanaro, Torre Mondovì, Vicoforte"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004210
Cod. catastale,I037
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 866 GG[3]"
Nome abitanti,sanmichelesi
Patrono,"santa Giustina, san Michele Arcangelo"
Giorno festivo,29 Settembre; terza domenica di luglio
Cartografia,Cartografia
San Michele Mondovì,San Michele Mondovì
San Michele Mondovì – MappaPosizione di San Michele Mondovì nella provincia di Cuneo,San Michele Mondovì – MappaPosizione di San Michele Mondovì nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
