Robilante comune,Robilante comune.1
,
Robilante – Veduta,Robilante – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Massimo Edoardo Burzi (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°18′N 7°31′E
Altitudine,686 m s.l.m.
Superficie,25 km²
Abitanti,2 104[1] (30-11-2025)
Densità,"84,16 ab./km²"
Frazioni,"Malandrè, Montasso, Piagge, Tetto Chiappello, Tetto Pettavino, Vermanera."
Comuni confinanti,"Boves, Roaschia, Roccavione, Vernante"
Altre informazioni,Altre informazioni
Cod. postale,12017
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004185
Cod. catastale,H377
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 166 GG[3]"
Nome abitanti,robilantesi
Patrono,San Donato
Giorno festivo,Seconda domenica di agosto
Cartografia,Cartografia
Robilante,Robilante
Robilante – MappaPosizione di Robilante nella provincia di Cuneo,Robilante – MappaPosizione di Robilante nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
