Govone comune,Govone comune.1
,
Govone – VedutaVeduta di Govone,Govone – VedutaVeduta di Govone
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giampiero Novara (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°48′N 8°06′E
Altitudine,301 m s.l.m.
Superficie,"18,91 km²"
Abitanti,2 240[1] (30-11-2025)
Densità,"118,46 ab./km²"
Frazioni,"Canove, Craviano, Montaldo, San Pietro, Trinità"
Comuni confinanti,"Castagnole delle Lanze (AT), Costigliole d'Asti (AT), Magliano Alfieri, Priocca, San Damiano d'Asti (AT), San Martino Alfieri (AT)"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004099
Cod. catastale,E118
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 542 GG[3]"
Nome abitanti,govonesi
Patrono,san Giovanni Decollato
Cartografia,Cartografia
Govone,Govone
Govone – MappaPosizione del comune di Govone nella provincia di Cuneo,Govone – MappaPosizione del comune di Govone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
