Cartignano comune,Cartignano comune.1
,
Cartignano – VedutaVeduta,Cartignano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Francesco Cioffi (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°29′48.34″N 7°17′05.02″E
Altitudine,694 m s.l.m. - max (monte cornet) 1 944 m s.l.m.
Superficie,"6,42 km²"
Abitanti,158[1] (30-11-2025)
Densità,"24,61 ab./km²"
Frazioni,"Biancera, Chiabriera, Chiaudieres, Cogno, Copetto, Galliana, Gordan, Mittante, Ponte-Paschero, Pradelmezzo, San Bernardo, Saretto, Sperone, Ugo"
Comuni confinanti,"Dronero, Melle, Roccabruna, San Damiano Macra"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004044
Cod. catastale,B845
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 171 GG[3]"
Nome abitanti,cartignanesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Cartignano,Cartignano
Cartignano – MappaPosizione di Cartignano nella provincia di Cuneo,Cartignano – MappaPosizione di Cartignano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
