Benevello comune,Benevello comune.1
,
Benevello – Veduta,Benevello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Mauro Rapalino (lista civica) dal 30-3-2010
Territorio,Territorio
Coordinate,44°38′N 8°06′E
Altitudine,671 m s.l.m.
Superficie,"5,44 km²"
Abitanti,457[1] (30-11-2025)
Densità,"84,01 ab./km²"
Frazioni,"Manera, Bricco"
Comuni confinanti,"Alba, Borgomale, Diano d'Alba, Lequio Berria, Rodello"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004020
Cod. catastale,A782
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 147 GG[3]"
Nome abitanti,benevellesi
Patrono,san Pietro in Vincoli
Cartografia,Cartografia
Benevello,Benevello
Benevello – MappaPosizione di Benevello nella provincia di Cuneo,Benevello – MappaPosizione di Benevello nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
