Murazzano comune,Murazzano comune.1
,
Murazzano – VedutaLa torre medioevale,Murazzano – VedutaLa torre medioevale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Luca Viglierchio (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°28′00″N 8°01′00″E
Altitudine,739 m s.l.m.
Superficie,"27,68 km²"
Abitanti,846[1] (30-11-2025)
Densità,"30,56 ab./km²"
Frazioni,"Bruni, Cornati, Mellea, Rea"
Comuni confinanti,"Belvedere Langhe, Bonvicino, Bossolasco, Clavesana, Igliano, Marsaglia, Mombarcaro, Paroldo, San Benedetto Belbo, Torresina"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004145
Cod. catastale,F809
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 231 GG[3]"
Nome abitanti,murazzanesi
Patrono,san Lorenzo
Cartografia,Cartografia
Murazzano,Murazzano
Murazzano – MappaPosizione del comune di Murazzano nella provincia di Cuneo,Murazzano – MappaPosizione del comune di Murazzano nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
