Pagno comune,Pagno comune.1
,
Pagno – Veduta,Pagno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Nico Giusiano (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°36′42.24″N 7°25′32.61″E
Altitudine,362 m s.l.m.
Superficie,"8,68 km²"
Abitanti,571[1] (30-11-2025)
Densità,"65,78 ab./km²"
Comuni confinanti,"Brondello, Manta, Piasco, Revello, Saluzzo, Venasca, Verzuolo"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004158
Cod. catastale,G240
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 762 GG[3]"
Nome abitanti,pagnesi
Patrono,san Colombano
Giorno festivo,23 novembre
Cartografia,Cartografia
Pagno,Pagno
Pagno – MappaTerritorio comunale di Pagno nella provincia di Cuneo,Pagno – MappaTerritorio comunale di Pagno nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
