Limone Piemonte comune,Limone Piemonte comune.1
,
"Limone Piemonte – VedutaPanorama di Limone al tramonto, in inverno","Limone Piemonte – VedutaPanorama di Limone al tramonto, in inverno"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Massimo Riberi (lista civica Viviamo Limone) dal 27-5-2019
Territorio,Territorio
Coordinate,44°12′N 7°34′E
Altitudine,1 009[1] m s.l.m.
Superficie,"70,81[1] km²"
Abitanti,1 333[2] (30-11-2025)
Densità,"18,83 ab./km²"
Frazioni,"Fantino, Limonetto, Panice Soprana, Panice Sottana, San Bernardo, Tetti Mecci[1]"
Comuni confinanti,"Briga Alta, Entracque, Tenda (Tende) (FR-06), Vernante, Boves, Peveragno, Chiusa di Pesio"
Altre informazioni,Altre informazioni
Cod. postale,12015
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004110
Cod. catastale,E597
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 3 566 GG[4]"
Nome abitanti,limonesi o limonaschi[1]
Patrono,san Pietro in Vincoli
Giorno festivo,prima domenica di agosto[1]
Cartografia,Cartografia
Limone Piemonte,Limone Piemonte
Limone Piemonte – MappaPosizione del comune di Limone Piemonte nella provincia di Cuneo,Limone Piemonte – MappaPosizione del comune di Limone Piemonte nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
