Sale delle Langhe comune,Sale delle Langhe comune.1
,
Sale delle Langhe – VedutaVeduta,Sale delle Langhe – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Ferrero (lista civica) dal 2019
Territorio,Territorio
Coordinate,44°24′N 8°05′E
Altitudine,480 m s.l.m.
Superficie,"10,51 km²"
Abitanti,467[1] (30-11-2025)
Densità,"44,43 ab./km²"
Frazioni,Arbi
Comuni confinanti,"Camerana, Ceva, Montezemolo, Priero, Sale San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004199
Cod. catastale,H695
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 910 GG[3]"
Nome abitanti,salesi
Patrono,Maria Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Sale delle Langhe,Sale delle Langhe
Sale delle Langhe – MappaPosizione di Sale delle Langhe nella provincia di Cuneo,Sale delle Langhe – MappaPosizione di Sale delle Langhe nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
