Saliceto comune,Saliceto comune.1
,
Saliceto – Veduta,Saliceto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giovanni Genta (Lista civica: “Insieme per Saliceto”) dal 27-05-2025
Territorio,Territorio
Coordinate,44°25′N 8°10′E
Altitudine,389 m s.l.m.
Superficie,"24,33 km²"
Abitanti,1 148[1] (30-11-2025)
Densità,"47,18 ab./km²"
Comuni confinanti,"Cairo Montenotte (SV), Camerana, Cengio (SV), Gottasecca, Montezemolo"
Altre informazioni,Altre informazioni
Cod. postale,12079
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004201
Cod. catastale,H710
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 797 GG[3]"
Nome abitanti,salicetesi
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Saliceto,Saliceto
Saliceto – MappaPosizione del comune di Saliceto nella provincia di Cuneo,Saliceto – MappaPosizione del comune di Saliceto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
