Salmour comune,Salmour comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Roberto Salvatore (lista civica) dal 13-06-2022
Territorio,Territorio
Coordinate,44°35′N 7°48′E
Altitudine,391 m s.l.m.
Superficie,"12,7 km²"
Abitanti,718[1] (30-11-2025)
Densità,"56,54 ab./km²"
Frazioni,"Sant'Antonino Località: Mellani, Valentino"
Comuni confinanti,"Bene Vagienna, Cervere, Cherasco, Fossano, Narzole"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004202
Cod. catastale,H716
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 657 GG[3]"
Nome abitanti,salmouresi
Patrono,sant'Eusebio
Giorno festivo,2 agosto
Cartografia,Cartografia
Salmour,Salmour
Salmour – MappaPosizione di Salmour nella provincia di Cuneo,Salmour – MappaPosizione di Salmour nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
