Valdieri comune,Valdieri comune.1
,
Valdieri – Veduta,Valdieri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Guido Giordana (Lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°17′N 7°24′E
Altitudine,774 m s.l.m.
Superficie,"153,32 km²"
Abitanti,915[1] (30-11-2025)
Densità,"5,97 ab./km²"
Frazioni,"Andonno, Desertetto Tetto Col, Sant'Anna di Valdieri, San Lorenzo, Terme di Valdieri"
Comuni confinanti,"Aisone, Borgo San Dalmazzo, Demonte, Entracque, Isola (FR-06), Moiola, Roaschia, Roccavione, Saint-Martin-Vésubie (FR-06), Valdeblore (FR-06), Vinadio"
Altre informazioni,Altre informazioni
Cod. postale,12010
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004233
Cod. catastale,L558
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 275 GG[3]"
Nome abitanti,valdieresi
Patrono,san Martino
Motto,Spes Una Salutis
Cartografia,Cartografia
Valdieri,Valdieri
Valdieri – MappaPosizione del comune di Valdieri nella provincia di Cuneo,Valdieri – MappaPosizione del comune di Valdieri nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
