Frabosa Soprana comune,Frabosa Soprana comune.1
,
Frabosa Soprana – VedutaImpianti di risalita a Frabosa Soprana,Frabosa Soprana – VedutaImpianti di risalita a Frabosa Soprana
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Iole Caramello (lista civica) dal 7-5-2012
Territorio,Territorio
Coordinate,44°17′14.03″N 7°48′25.09″E
Altitudine,891 m s.l.m.
Superficie,"47,14 km²"
Abitanti,739[1] (30-11-2025)
Densità,"15,68 ab./km²"
Frazioni,"Bassi, Bossea, Botteri, Corsaglia, Fontane, Forneri, Lanza Serra, Mondagnola, San Martino, Seccata, Straluzzo"
Comuni confinanti,"Frabosa Sottana, Magliano Alpi, Monastero di Vasco, Montaldo di Mondovì, Ormea, Roburent"
Altre informazioni,Altre informazioni
Cod. postale,12082
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004090
Cod. catastale,D751
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 420 GG[3]"
Nome abitanti,frabosani
Patrono,Maria SS. Addolorata
Giorno festivo,17 settembre
Cartografia,Cartografia
Frabosa Soprana,Frabosa Soprana
Frabosa Soprana – MappaPosizione di Frabosa Soprana nella provincia di Cuneo,Frabosa Soprana – MappaPosizione di Frabosa Soprana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
