Montezemolo comune,Montezemolo comune.1
,
Montezemolo – Veduta,Montezemolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Giacosa (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°23′N 8°08′E
Altitudine,750 m s.l.m.
Superficie,"6,75[2] km²"
Abitanti,231[3] (30-11-2025)
Densità,"34,22 ab./km²"
Frazioni,"Maglino, Pione, Villa"
Comuni confinanti,"Camerana, Castelnuovo di Ceva, Cengio (SV), Priero, Roccavignale (SV), Sale delle Langhe, Saliceto"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004141
Cod. catastale,F666
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 234 GG[5]"
Nome abitanti,montezemolesi
Patrono,san Benedetto
Giorno festivo,21 marzo
Cartografia,Cartografia
Montezemolo,Montezemolo
Montezemolo – MappaPosizione di Montezemolo nella provincia di Cuneo,Montezemolo – MappaPosizione di Montezemolo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
