Castelletto Uzzone comune,Castelletto Uzzone comune.1
,
Castelletto Uzzone – VedutaPanorama di Scaletta Uzzone in una cartolina d'epoca.,Castelletto Uzzone – VedutaPanorama di Scaletta Uzzone in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Gabriele Molinari ((Sviluppo & Territorio) lista civica) dal 26-05-2019 (2º mandato dal 09-06-2024)
Territorio,Territorio
Coordinate,44°30′N 8°11′E
Altitudine,425 m s.l.m.
Superficie,"14,86 km²"
Abitanti,277[1] (30-11-2025)
Densità,"18,64 ab./km²"
Frazioni,"San Michele, Scaletta Uzzone"
Comuni confinanti,"Dego (SV), Gottasecca, Levice, Pezzolo Valle Uzzone, Piana Crixia (SV), Prunetto"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004050
Cod. catastale,C167
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 842 GG[3]"
Nome abitanti,castellettesi
Patrono,san Ludovico
Giorno festivo,terza domenica di agosto
Cartografia,Cartografia
Castelletto Uzzone,Castelletto Uzzone
Castelletto Uzzone – MappaPosizione di Castelletto Uzzone nella provincia di Cuneo,Castelletto Uzzone – MappaPosizione di Castelletto Uzzone nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
