Venasca comune,Venasca comune.1
,
Venasca – VedutaIl centro storico,Venasca – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Silvano Dovetta (lista civica) dall'08-06-2009 (4º mandato dal 09-06-2024)
Territorio,Territorio
Coordinate,44°34′N 7°24′E
Altitudine,549 m s.l.m.
Superficie,"20,39 km²"
Abitanti,1 335[1] (30-11-2025)
Densità,"65,47 ab./km²"
Frazioni,"Bonardo, Bonelli, Bricco, Collino, Miceli, Peralba, Ponsa, Rolfa, San Bartolomeo, San Bernardo, Santa Lucia, Sant'Anna, Vernetto"
Comuni confinanti,"Brondello, Brossasco, Busca, Isasca, Pagno, Piasco, Rossana"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004237
Cod. catastale,L729
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 996 GG[3]"
Nome abitanti,venaschesi
Patrono,santa Lucia
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
Venasca,Venasca
Venasca – MappaPosizione di Venasca nella provincia di Cuneo,Venasca – MappaPosizione di Venasca nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
