Lisio comune,Lisio comune.1
,
Lisio – VedutaVeduta,Lisio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Stefano Rossi (lista civica Lista per Lisio) dal 27-5-2019
Territorio,Territorio
Coordinate,44°18′N 7°59′E
Altitudine,575 m s.l.m.
Superficie,"8,23 km²"
Abitanti,182[1] (30-11-2025)
Densità,"22,11 ab./km²"
Comuni confinanti,"Bagnasco, Battifollo, Monasterolo Casotto, Scagnello, Viola"
Altre informazioni,Altre informazioni
Cod. postale,12070
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004111
Cod. catastale,E615
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 028 GG[3]"
Nome abitanti,lisiesi
Patrono,Maria Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Lisio,Lisio
Lisio – MappaPosizione di Lisio nella provincia di Cuneo,Lisio – MappaPosizione di Lisio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
