Feisoglio comune,Feisoglio comune.1
,
Feisoglio – VedutaFeisoglio nel 1932,Feisoglio – VedutaFeisoglio nel 1932
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Simone Gallo (lista civica Feisoglio paese vivo) dal 27-5-2019
Territorio,Territorio
Coordinate,44°33′N 8°06′E
Altitudine,706 m s.l.m.
Superficie,"7,67 km²"
Abitanti,287[1] (30-11-2025)
Densità,"37,42 ab./km²"
Comuni confinanti,"Bossolasco, Cerretto Langhe, Cravanzana, Gorzegno, Levice, Niella Belbo, Serravalle Langhe, Torre Bormida"
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004088
Cod. catastale,D523
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 191 GG[3]"
Nome abitanti,feisogliesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Feisoglio,Feisoglio
Feisoglio – MappaPosizione di Feisoglio nella provincia di Cuneo,Feisoglio – MappaPosizione di Feisoglio nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
