Sommariva Perno comune,Sommariva Perno comune.1
,
Sommariva Perno – VedutaVeduta del paese,Sommariva Perno – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Stefano Rosso (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°45′N 7°54′E
Altitudine,389 m s.l.m.
Superficie,"17,09 km²"
Abitanti,2 678[1] (30-11-2025)
Densità,"156,7 ab./km²"
Frazioni,"Re, San Giuseppe, Valle Rossi, Villa"
Comuni confinanti,"Baldissero d'Alba, Corneliano d'Alba, Monticello d'Alba, Pocapaglia, Sanfrè, Sommariva del Bosco"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004223
Cod. catastale,I823
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 797 GG[3]"
Nome abitanti,sommarivesi
Patrono,Santa Croce
Giorno festivo,22 settembre
Cartografia,Cartografia
Sommariva Perno,Sommariva Perno
Sommariva Perno – MappaTerritorio comunale di Sommariva Perno nella provincia di Cuneo,Sommariva Perno – MappaTerritorio comunale di Sommariva Perno nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
