Barolo comune,Barolo comune.1
,
Barolo – VedutaBarolo visto da La Morra.,Barolo – VedutaBarolo visto da La Morra.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Fulvio Mazzocchi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°37′N 7°56′E
Altitudine,305 m s.l.m.
Superficie,"5,69 km²"
Abitanti,611[1] (30-11-2025)
Densità,"107,38 ab./km²"
Frazioni,Vergne
Comuni confinanti,"Castiglione Falletto, La Morra, Monforte d'Alba, Narzole, Novello"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004013
Cod. catastale,A671
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 688 GG[3]"
Nome abitanti,barolesi
Patrono,san Luigi dei Francesi
Giorno festivo,25 agosto
Cartografia,Cartografia
Barolo,Barolo
Barolo – MappaPosizione di Barolo nella provincia di Cuneo,Barolo – MappaPosizione di Barolo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
