Santa Vittoria d'Alba comune,Santa Vittoria d'Alba comune.1
,
Santa Vittoria d'Alba – VedutaIl Castello di Santa Vittoria d'Alba,Santa Vittoria d'Alba – VedutaIl Castello di Santa Vittoria d'Alba
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Maria Adriana Dellavalle (lista civica) dal 27-6-2024
Territorio,Territorio
Coordinate,44°42′N 7°56′E
Altitudine,346 m s.l.m.
Superficie,"10,08 km²"
Abitanti,2 930[1] (30-11-2025)
Densità,"290,67 ab./km²"
Frazioni,"Borgo, Case Nuove, Cinzano, Lussi, Villa"
Comuni confinanti,"Bra, Monticello d'Alba, Pocapaglia, Roddi, Verduno"
Altre informazioni,Altre informazioni
Cod. postale,12069
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004212
Cod. catastale,I316
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 683 GG[3]"
Nome abitanti,santavittoriesi
Patrono,santa Vittoria
Giorno festivo,3 settembre
Cartografia,Cartografia
Santa Vittoria d'Alba,Santa Vittoria d'Alba
Santa Vittoria d'Alba – MappaTerritorio comunale di Santa Vittoria d'Alba nella provincia di Cuneo,Santa Vittoria d'Alba – MappaTerritorio comunale di Santa Vittoria d'Alba nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
