Pianfei comune,Pianfei comune.1
,
Pianfei – Veduta,Pianfei – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Turco (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°22′22″N 7°42′45″E
Altitudine,503 m s.l.m.
Superficie,"15,31 km²"
Abitanti,2 094[1] (30-11-2025)
Densità,"136,77 ab./km²"
Frazioni,"Ambrosi, Bassa, Blangetti, Gariè, Mussi, Prato Salice, Ressia, Revelli, Viglioni"
Comuni confinanti,"Chiusa di Pesio, Margarita, Mondovì, Roccaforte Mondovì, Villanova Mondovì"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004165
Cod. catastale,G561
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 939 GG[3]"
Nome abitanti,pianfeiesi
Cartografia,Cartografia
Pianfei,Pianfei
Pianfei – MappaPosizione di Pianfei nella provincia di Cuneo,Pianfei – MappaPosizione di Pianfei nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
