Magliano Alpi comune,Magliano Alpi comune.1
,
Magliano Alpi – Veduta,Magliano Alpi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Lorella Masoero (Commissario Prefettizio) dal 6-5-2025 (4º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,44°27′N 7°48′E
Altitudine,403 m s.l.m.
Superficie,"33,22 km²"
Abitanti,2 162[1] (30-11-2025)
Densità,"65,08 ab./km²"
Frazioni,"Magliano Soprano, Magliano Sottano, San Giuseppe"
Comuni confinanti,"Bene Vagienna, Carrù, Frabosa Soprana, Frabosa Sottana, Ormea, Mondovì, Rocca de' Baldi, Roccaforte Mondovì, Sant'Albano Stura, Trinità"
Altre informazioni,Altre informazioni
Cod. postale,12060
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004114
Cod. catastale,E808
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 815 GG[3]"
Nome abitanti,maglianesi
Patrono,16 luglio
Giorno festivo,Madonna del Carmine
Cartografia,Cartografia
Magliano Alpi,Magliano Alpi
Magliano Alpi – MappaPosizione di Magliano Alpi nella provincia di Cuneo,Magliano Alpi – MappaPosizione di Magliano Alpi nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
