Carrù comune,Carrù comune.1
,
Carrù – VedutaCarrù vista dall'alto,Carrù – VedutaCarrù vista dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Nicola Schellino (lista civica Per Carrù) dal 21-9-2020
Territorio,Territorio
Coordinate,44°29′N 7°53′E
Altitudine,364 m s.l.m.
Superficie,"25,84 km²"
Abitanti,4 489[1] (30-11-2025)
Densità,"173,72 ab./km²"
Frazioni,"Bella, Bordino, Calleri-Priorato, Cardoni, Cavalloni, Conti, Frave, Gonella, Guida, L'Arcurata, Marenchi, Massimina, Massimini, Pagano, Ricci, Rissordo, Ronchi, San Giovanni, San Pietro, Sant'Anna, Santuario Ronchi, Stazione, Tetti Nuovi, Zucchetti[2]."
Comuni confinanti,"Bastia Mondovì, Bene Vagienna, Clavesana, Farigliano, Magliano Alpi, Mondovì, Piozzo, Trinità"
Altre informazioni,Altre informazioni
Cod. postale,12061
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004043
Cod. catastale,B841
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 766 GG[4]"
Nome abitanti,carrucesi
Patrono,Santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Carrù,Carrù
Carrù – MappaPosizione di Carrù nella provincia di Cuneo,Carrù – MappaPosizione di Carrù nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
