Santo Stefano Belbo comune,Santo Stefano Belbo comune.1
,
Santo Stefano Belbo – VedutaSanto Stefano Belbo visto da Moncucco,Santo Stefano Belbo – VedutaSanto Stefano Belbo visto da Moncucco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Laura Maria Cristina Capra (lista civica Noi per Santo Stefani Belbo) dal 22-9-2020[1]
Territorio,Territorio
Coordinate,44°42′N 8°14′E
Altitudine,170 m s.l.m.
Superficie,"27,18 km²"
Abitanti,3 688[2] (30-11-2025)
Densità,"135,69 ab./km²"
Frazioni,"Bauda, Camo, Dornere, Moncucco, Robini, San Grato, Santa Libera, Valdivilla, Vogliere, Valle Tinella, San Maurizio, Piacentini"
Comuni confinanti,"Calosso (AT), Canelli (AT), Castiglione Tinella, Cossano Belbo, Loazzolo (AT), Mango"
Altre informazioni,Altre informazioni
Cod. postale,12058
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,004213
Cod. catastale,I367
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 563 GG[4]"
Nome abitanti,santostefanesi
Patrono,san Rocco
Motto,Vitis Sancti Stephani ad Belbum vita
Cartografia,Cartografia
Santo Stefano Belbo,Santo Stefano Belbo
Santo Stefano Belbo – MappaPosizione di Santo Stefano Belbo nella provincia di Cuneo,Santo Stefano Belbo – MappaPosizione di Santo Stefano Belbo nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
