Monasterolo Casotto comune,Monasterolo Casotto comune.1
,
Monasterolo Casotto – Veduta,Monasterolo Casotto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Michele Borgna (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°19′03.58″N 7°56′24.4″E
Altitudine,"726 (min 519 - max 1,066) m s.l.m."
Superficie,"7,68 km²"
Abitanti,82[1] (30-11-2025)
Densità,"10,68 ab./km²"
Frazioni,Ciotti
Sottodivisioni ulteriori,"Borgata Sottana (Sotan-na), Borgata Cravena (Cravain-na), Borgata Soprana (Sovran-na), Borgata Case Scuole (Ca' dër Scòre), Borgata Garassini (Garascè-n)"
Comuni confinanti,"Lisio, Mombasiglio, Pamparato, San Michele Mondovì, Scagnello, Torre Mondovì, Viola"
Altre informazioni,Altre informazioni
Cod. postale,12080
Prefisso,0174
Fuso orario,UTC+1
Codice ISTAT,004127
Cod. catastale,F329
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 110 GG[3]"
Nome abitanti,monasterolesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Monasterolo Casotto,Monasterolo Casotto
Monasterolo Casotto – MappaPosizione di Monasterolo Casotto nella provincia di Cuneo,Monasterolo Casotto – MappaPosizione di Monasterolo Casotto nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
