Roccabruna comune,Roccabruna comune.1
,
Roccabruna – VedutaPanorama,Roccabruna – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Marco Arneodo (lista civica Collaborazione e progresso) dal 27-5-2019
Territorio,Territorio
Coordinate,44°30′N 7°20′E
Altitudine,"640 - 1,939 m s.l.m."
Superficie,"24,3 km²"
Abitanti,1 518[1] (30-11-2025)
Densità,"62,47 ab./km²"
Frazioni,"Castello, Centro, Foglienzane, Giorsetti, Guardiola, Margaria, Norat, Prarosso, San Giuliano, San Ponzio, Sant'Anna"
Comuni confinanti,"Busca, Cartignano, Dronero, Melle, San Damiano Macra, Villar San Costanzo"
Altre informazioni,Altre informazioni
Cod. postale,12020
Prefisso,0171
Fuso orario,UTC+1
Codice ISTAT,004187
Cod. catastale,H385
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 183 GG[3]"
Nome abitanti,roccabrunesi
Patrono,santa Maria Assunta
Giorno festivo,settimana di Ferragosto
Cartografia,Cartografia
Roccabruna,Roccabruna
Roccabruna – MappaPosizione del comune di Roccabruna nella provincia di Cuneo,Roccabruna – MappaPosizione del comune di Roccabruna nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
