Bosia comune,Bosia comune.1
,
Bosia – VedutaPanorama di Bosia in una cartolina d'epoca.,Bosia – VedutaPanorama di Bosia in una cartolina d'epoca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Ettore Secco (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,44°36′N 8°09′E
Altitudine,484 m s.l.m.
Superficie,"5,54 km²"
Abitanti,168[1] (30-11-2025)
Densità,"30,32 ab./km²"
Frazioni,Rutte
Comuni confinanti,"Borgomale, Castino, Cortemilia, Cravanzana, Lequio Berria, Torre Bormida."
Altre informazioni,Altre informazioni
Cod. postale,12050
Prefisso,0173
Fuso orario,UTC+1
Codice ISTAT,004026
Cod. catastale,B079
Targa,CN
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 915 GG[3]"
Nome abitanti,bosiesi
Patrono,san Nazario
Giorno festivo,31 luglio
Cartografia,Cartografia
Bosia,Bosia
Bosia – MappaPosizione di Bosia nella provincia di Cuneo,Bosia – MappaPosizione di Bosia nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
