Sant'Albano Stura comune,Sant'Albano Stura comune.1
,
Sant'Albano Stura – Veduta,Sant'Albano Stura – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Massimo Ravera (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°30′01.34″N 7°43′29.64″E
Altitudine,378 m s.l.m.
Superficie,"27,45 km²"
Abitanti,2 428[1] (30-11-2025)
Densità,"88,45 ab./km²"
Frazioni,"Ceriolo, Dalmazzi, Consovero (in parte)"
Comuni confinanti,"Fossano, Magliano Alpi, Montanera, Morozzo, Rocca de' Baldi, Trinità"
Altre informazioni,Altre informazioni
Cod. postale,12040
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004211
Cod. catastale,I210
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 782 GG[3]"
Nome abitanti,santalbanesi
Patrono,san Liberato
Giorno festivo,Ultima domenica di agosto
Cartografia,Cartografia
Sant'Albano Stura,Sant'Albano Stura
Sant'Albano Stura – MappaPosizione di Sant'Albano Stura nella provincia di Cuneo,Sant'Albano Stura – MappaPosizione di Sant'Albano Stura nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
