Cardè comune,Cardè comune.1
,
Cardè – VedutaCentro storico di Cardè,Cardè – VedutaCentro storico di Cardè
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Matteo Morena (lista civica SìAmo Cardè) dal 27-5-2019
Data di istituzione,1872 (indipendenza da Barge)
Territorio,Territorio
Coordinate,44°44′42″N 7°28′40″E
Altitudine,258 m s.l.m.
Superficie,"19,31 km²"
Abitanti,1 175[1] (30-11-2025)
Densità,"60,85 ab./km²"
Frazioni,"Boschi, Milleni, Ormea, Tetti"
Comuni confinanti,"Barge, Moretta, Revello, Saluzzo, Villafranca Piemonte (TO)"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0172
Fuso orario,UTC+1
Codice ISTAT,004042
Cod. catastale,B755
Targa,CN
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 635 GG[3]"
Nome abitanti,cardettesi
Patrono,Madonna della Salesea
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Cardè,Cardè
Cardè – MappaPosizione di Cardè nella provincia di Cuneo,Cardè – MappaPosizione di Cardè nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
