Ostana comune,Ostana comune.1
,
Ostana – VedutaVeduta del paese,Ostana – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Cuneo
Amministrazione,Amministrazione
Sindaco,Giacomo Lombardo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°41′33.33″N 7°11′14.01″E
Altitudine,1 250 m s.l.m.
Superficie,"14,09 km²"
Abitanti,79[1] (30-11-2025)
Densità,"5,61 ab./km²"
Frazioni,"Ciampagna, Ciampetti, Durandin, Sant'Antonio, La Villa, San Bernardo, Bernardi, Serre, Miridò, Martino"
Comuni confinanti,"Bagnolo Piemonte, Barge, Crissolo, Oncino, Paesana"
Altre informazioni,Altre informazioni
Cod. postale,12030
Prefisso,0175
Fuso orario,UTC+1
Codice ISTAT,004156
Cod. catastale,G183
Targa,CN
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 865 GG[3]"
Nome abitanti,ostanesi
Patrono,san Claudio
Cartografia,Cartografia
Ostana,Ostana
Ostana – MappaPosizione di Ostana nella provincia di Cuneo,Ostana – MappaPosizione di Ostana nella provincia di Cuneo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
